Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
92,Emulsifying Wax,Emulsifying Wax NF,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
93,Epilobium Angustifolium Flower Extract,na,na,na,na,na
94,Ergothioneine,na,na,na,na,na
95,Essential Oils,na,na,na,na,na
96,Ethoxydiglycol,na,na,na,na,na
97,Ethylene/Propylene/Styrene Copolymer,na,na,na,na,na
98,Ethylhexylglycerin,Ethylhexyglycerine,na,na,na,na
99,Ethylparaben,na,na,na,na,na
100,Eucalyptus Oil,Eucalyptus Globulus Leaf Oil,na,na,na,na
101,Evening Primrose Oil,na,na,na,na,na
102,Evodia Rutaecarpa Fruit Extract,na,na,na,na,na
103,Fragrance,na,na,na,na,na
104,Geraniol,na,na,na,na,na
105,Ginger Root Extract,Zingiber Officinale (Ginger Root) Extract,na,na,na,na
106,Ginkgo Biloba Leaf Extract,na,na,na,na,na
107,Glycerin,glycerine; propanetriol; 1;2;3-trihydroxypropane,Glycerol is a simple polyol (sugar alcohol) compound. It is a colorless; odorless; viscous liquid that is widely used in pharmaceutical formulations.,https://en.wikipedia.org/wiki/Glycerol,2/16/2016,na
108,Glyceryl Behenate,na,Glyceryl behenate is a fat used in cosmetics; foods; and oral pharmaceutical formulations. In cosmetics; it is mainly used as a viscosity-increasing agent in emulsions. Wikipedia,http://en.wikipedia.org/wiki/Glyceryl_behenate,2/16/2016,https://pubchem.ncbi.nlm.nih.gov/compound/Glyceryl_behenate
109,Glyceryl Dibehenate,na,na,na,na,na
110,Glyceryl Stearate,Glycerin Stearate; Glycerol Monostearate,na,na,na,na
111,Glycine Soja Oil,na,na,na,na,na
112,Glycol Stearate,na,na,na,na,na
113,Goji Berry Extract,na,na,na,na,na
114,Grape Seed Oil,na,na,na,na,na
115,Green Tea Extract,Camellia Sinensis (Green Tea) Extract,na,na,na,na
116,Hamamelis Virginiana Extract,na,na,na,na,na
117,Hemp Seed Oil,na,na,na,na,na
118,Hexanediol,na,na,na,na,na
119,Honey,na,A humectant from the nectar of flowers.,https://www.dermalinstitute.com/us/library/glossary.html?l=H,3/6/2016,na
120,Hydrogenated Polydecene,na,na,na,na,na
121,Hydrogenated Polyisobutene,na,na,na,na,na
122,Hydrogenated Vegetable Oil,na,na,na,na,na
123,Hydroxyphenyl Propamidobenzoic Acid,Synthetic avenanthramide (Oat active),Synthetic avenanthramide (Oat active) used to boost the efficacy of natural Oat.,https://www.dermalinstitute.com/us/library/glossary.html?l=H,3/6/2016,na
124,Imidazolidinyl Urea,na,na,na,na,na
125,Iodopropynyl Butylcarbamate,na,na,na,na,na
126,Isobutylparaben,na,na,na,na,na
127,Isododecane,na,na,na,na,na
128,Isononyl Isononanoate,na,na,na,na,na
129,Isoparaffin,C13-C14 Isoparaffin,na,Wax,na,na
130,Isopropyl Myristate,na,na,na,na,na
131,Isopropyl Palmitate,na,na,na,na,na
132,Jojoba Oil,Jojoba Seed Oil,na,na,na,na
133,Jojoba Wax,na,na,na,na,na
134,Lactate,na,na,na,na,na
135,Lanolin,na,na,na,na,na
136,Lanolin Alcohol,na,na,na,na,na
137,Lanolin Oil,na,na,na,na,na
138,Laureth-7,na,na,na,na,na
139,Lavender Oil,na,na,na,na,na
140,Lecithin,na,na,na,na,na
141,Lemongrass,na,na,na,na,na
142,Limonene,na,na,na,na,na
143,Linalool,na,Linalool is a naturally occurring fragrance substance produced by a wide variety of plants such as mint; cinnamon; citrus fruits; and birch trees. Linalool can also be produced synthetically.,http://www.cosmeticsinfo.org/ingredient/linalool,3/6/2016,na
144,Linoleic Acid,na,na,na,na,na
145,Macadamia Seed Oil,na,na,na,na,na
146,Magnesium Sulfate,na,na,na,na,na
147,Mannan,na,na,na,na,na
148,Masterwort Extract,na,na,na,na,na
149,Melia Azadirachta Seed Oil,na,na,na,na,na
150,Menthol,na,na,na,na,na
151,Menthol Bht Triclosan,na,na,na,na,na
152,Menthyl,na,na,na,na,na
153,Menthyl Lactate,na,Menthyl Lactate is a solid cooling agent and fragrance component for cosmetics. It is a derivative of Menthol; but is milder and more compatible with the skin.,http://www.makingcosmetics.com/Menthyl-Lactate_p_676.html,3/5/2016,na
154,Methicone,na,na,na,na,na
155,Methyl Salicylate,checkerberry oil; gaultheria oil; sweet birch oil; wintergreen oil,The methyl ester of salicylic acid; produced synthetically or distilled from Gaultheria procumbens (family Ericaceae) or from Betula lenta (family Betulaceae); used externally and internally for the treatment of various forms of rheumatism.,http://www.drugs.com/dict/methyl-salicylate.html,2/21/2016,http://chem.sis.nlm.nih.gov/chemidplus/rn/119-36-8
156,Methylisothiazolinone,na,na,na,na,na
157,Methylparaben,Methyl Paraben,Methylparaben is an anti-fungal agent often used in a variety of cosmetics and personal-care products. It is also used as a food preservative and has the E number E218.,https://en.wikipedia.org/wiki/Methylparaben,3/6/2016,na
158,Mineral Oil,Paraffinum Liquidum; White Mineral Oil (Paraffinum Liquidum),na,na,na,na
159,Oat Extract,Avena Sativa (Oat) Kernel Extract,na,na,na,na
160,Octyldocecanol,na,na,na,na,na
161,Olive Fruit Unsaponifiables,Olive Fruit Unsaponifiables,Europaea (Olive) Fruit Unsaponifiables is a fraction of olive fruit remaining after fractional distillation.,http://www.ewg.org/skindeep/ingredient/721077/OLEA_EUROPAEA_%28OLIVE%29_FRUIT_UNSAPONIFIABLES/,2/21/2016,na
162,Olive Oil,Olea Europaea (Olive) Fruit Oil,na,na,na,na
163,Ozokerite Wax,Ozokerite,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
164,Panthenol,Provitiman B5,Panthenol (pantothenol) is the alcohol analog of pantothenic acid (vitamin B5); and is thus a provitamin of B5. In organisms it is quickly oxidized to pantothenate [pantothenic acid]. In cosmetics and personal-care products; panthenol is a humectant; emollient; and moisturizer. In ointments; panthenol is an effective skin penetrator.[2] It is sometimes mixed with allantoin; in concentrations of up to 2-5%; and is used for treatment of sunburns; mild burns and minor skin disorders.,https://en.wikipedia.org/wiki/Panthenol,3/5/2016,na
165,Paraffin,na,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
166,PEG 2 Stearate,na,na,na,na,na
167,PEG-100 Stearate,na,na,na,na,na
168,PEG-20 Stearate,na,na,na,na,na
169,PEG-30 Glyceryl Stearate,na,na,na,na,na
170,PEG-40 Stearate,na,na,na,na,na
171,Pentylene Glycol,na,na,na,na,na
172,Peppermint Oil,Mentha Piperita (Pepperment) Leaf Oil,na,na,na,na
173,Peru Balsam,Myroxylon pereirae; Peruvian balsam; Indian balsam; black balsam; balsam Peru,Peru balsam is a tall tree that grows in Central America. This large tree often is cultivated as a shade tree. Crude Peru balsam is a dark brown; thick liquid with an aromatic smell of cinnamon and vanilla; and bitter taste. To remove it from the tree; the bark is alternately scorched and beaten.,http://www.drugs.com/npc/peru-balsam.html,2/21/2016,na
174,Petrolatum,na,na,na,na,na
175,Phellodendron Amurense Bark Extract,Amur cork tree,Phellodendron amurense Rupr. is a species of tree in the family Rutaceae; commonly called the Amur cork tree. It is a major source of huáng bò (Chinese: 黄柏 or 黄檗); one of the 50 fundamental herbs used in traditional Chinese medicine. The Ainu people used this plant; called shikerebe-ni; as a painkiller,https://en.wikipedia.org/wiki/Phellodendron_amurense,2/21/2016,na
176,Phenethyl Alcohol,na,na,na,na,na
177,Phenoxyethanol,na,Phenoxyethanol is an oily; slightly sticky liquid with a faint rose-like scent. It is used as a preservative in a wide variety of cosmetic and personal care products; including skin care products; eye makeup; fragrances; blushers; foundations; lipstick; bath soaps and detergents; etc. Research shows that this ingredient is safe when used in these products. ,http://www.cosmeticsinfo.org/ingredient/phenoxyethanol,3/6/2016,na
178,Phenyl Trimethicone,Polyphenylmethyl siloxane,Phenyl Trimethicone is a derivative of silica; or silcione; and is used in cosmetics and beauty products as an anti-foaming agent; hair conditioning agent; and skin-conditioning agent (Cosmetic Database),https://www.truthinaging.com/ingredients/phenyl-trimethicone,2/16/2016,https://pubchem.ncbi.nlm.nih.gov/compound/Phenyltris_trimethylsiloxy_silane#section=Top
179,Polyacrylamide,na,na,na,na,na
180,Polyester-8,na,na,na,na,na
181,Polyethylene,na,na,na,na,na
182,Polyglyceryl-10 Pentastearate,na,na,na,na,na
183,Polyglyceryl-3 Esters,na,na,na,na,na
184,Polygonum Aviculare Water Extract,knotgrass; knotweed; pigweed,Polygonum aviculare or common knotgrass is a plant related to buckwheat and dock. It is also calledprostrate knotweed; birdweed; pigweed and lowgrass. It is an annual found in fields and wasteland; with white flowers from June to October. It is widespread across many countries in temperate regions; apparently native to Eurasia and North America; naturalized in temperate parts of the Southern Hemisphere.,https://en.wikipedia.org/wiki/Polygonum_aviculare,2/26/2016,na
185,Polysorbate 60,na,na,na,na,na
186,Polysorbate-80,na,na,na,na,na
187,Pomegranate Extract,na,na,na,na,na
188,Potassium Sorbate,na,na,na,na,na
189,PPG-15 Stearyl Ether,na,na,na,na,na
190,PPG-2-Methyl Ether,na,na,na,na,na
191,Propane,Propellent,Gas used as a propellent in aerosol sprays,na,na,na
192,Propanediol,na,na,na,na,na
193,Propylene Glycol,Propylene glycol; α-Propylene glycol; 1;2-Propanediol; 1;2-Dihydroxypropane; Methyl ethyl glycol (MEG); Methylethylene glycol,Propylene glycol; also called propane-1;2-diol; is an organic compound with the chemical formula C₃H₈O₂. It is a viscous colourless liquid which is nearly odourless but possesses a faintly sweet taste.,na,2/16/2016,https://en.wikipedia.org/wiki/Propylene_glycol
194,Propylparaben,Propyl Paraben,na,na,na,na
195,Retinyl Palmitate,na,na,na,na,na
196,Rosehip Oil,na,na,na,na,na
197,Rosemary Oil,Rosemary Leaf Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract,na,na,na,na
198,Safflower Seed Oil,na,na,na,na,na
199,Salicylic Acid,beta hydroxy acid (abbreviated BHA);2-Hydroxybenzoic acid,Antiacne Agent; Antidandruff Agent; Corn/Callus/Wart Remover; Denaturant; Exfoliant;Fragrance Ingredient; Hair Conditioning Agent; Skin-Conditioning Agent - Miscellaneous; KERATOLYTIC; MASKING; PRESERVATIVE; SKIN CONDITIONING,http://www.ewg.org/skindeep/ingredient/705746/SALICYLIC_ACID/,2/21/2016,http://chem.sis.nlm.nih.gov/chemidplus/name/salicylic%20acid
200,Sandalwood Extract,na,na,na,na,na
201,Sesame Seed Oil,na,na,na,na,na
202,Shag Bark Extract,na,na,na,na,na
203,Shea Butter,Butyrospermum Parkii (Shea) Butter,na,na,na,na
204,Silica,na,na,na,na,na
205,Silicone,na,na,na,na,na
206,Sodium Borate,na,na,na,na,na
207,Sodium Carbomer,na,na,na,na,na
208,Sodium Cetearyl Sulfate,na,na,na,na,na
209,Sodium Lauryl Sulfate,na,na,na,na,na
210,Sodium PCA,na,na,na,na,na
211,Sodium Steroyl Lactylate,na,na,na,na,na
212,Sorbic Acid,2;4-hexadienoic acid,Sorbic acid (C6H8O2) is a natural preservative that comes from the rowan berries; Sorbus aucuparia (family Rosaceae). It is also prepared synthetically. It inhibits growth of fungi; yeast; mold and some bacteria and is nearly nontoxic to humans. Sorbic acid is safe to use in a wide range of foods; drugs; and cosmetic products. Sorbic acid and its salts; sodium sorbate; potassium sorbate and calcium sorbate are often used in food products as preservatives.,http://www.drugs.com/inactive/sorbic-acid-81.html,2/21/2016,https://pubchem.ncbi.nlm.nih.gov/compound/643460
213,Sorbitan Monostearate,na,na,na,na,na
214,Sorbitan Sesquioleate,na,na,na,na,na
215,Sorbitan Stearate,na,na,na,na,na
216,Soy Phospholipids,na,na,na,na,na
217,Soy Sterols,na,na,na,na,na
218,Soybean Oil,Soy Oil,na,na,na,na
219,Stearamide MEA,na,na,na,na,na
220,Stearamidoethyl Ethanolamine,na,na,na,na,na
221,Stearamidopropyl Dimethylamine,na,na,na,na,na
222,Steareth-10,na,na,na,na,na
223,Stearic Acid,na,na,na,na,na
224,Stearoylethyl Dihydroxyethylamine,na,na,na,na,na
225,Stearyl Alcohol,na,na,na,na,na
226,Stearyl Glycrrhetinate,na,na,na,na,na
227,Steric Acid,na,na,na,na,na
228,Steroid Fraction Stigmasterol,na,na,na,na,na
229,Sunflower Oil,Sunflower Seed Oil,na,na,na,na
230,Sunflower Seed Wax,na,na,na,na,na
231,Sweet Almond Oil,na,na,na,na,na
232,Sweet Orange Peel Oil,na,na,na,na,na
233,Synthetic Beeswax,na,na,na,na,na
234,Talc,na,na,na,na,na
235,Tapioca Starch,na,na,na,na,na
236,Tea Tree Oil,Melaleuca Alternifolia (Tea Tree) Extract or Leaf Oil,Used for its antiseptic; analgesic and anti-bacterial properties; also aids in healing and soothing the skin.,https://www.dermalinstitute.com/us/library/glossary.html?l=M,3/6/2016,na
237,Tolnaftate,na,na,na,na,na
238,Tribehenin,na,na,na,na,na
239,Triclosan,na,na,na,na,na
240,Tricontanyl PVP,na,na,na,na,na
241,Triethanolamine,TEA,Triethanolamine is a strongly alkaline substance used as surfactant and pH adjusting chemical. Function(s): Fragrance Ingredient; pH Adjuster; Surfactant - Emulsifying Agent; BUFFERING; ,http://www.ewg.org/skindeep/ingredient.php?ingred06=706639,3/5/2016,na
242,Triglyceride,na,na,na,na,na
243,Trimethylsiloxysilicate,na,na,na,na,na
244,Trisiloxane,OCTAMETHYL- TRISILOXANE; OCTAMETHYLTRISILOXANE; OCTAMETHYLTRISILOXANE; OCTAMETHYLTRISILOXANE; TRISILOXANE; OCTAMETHYL; TRISILOXANE; OCTAMETHYL-,About TRISILOXANE: Trisiloxane is a linear siloxane. Function(s): Antifoaming Agent; Skin-Conditioning Agent - Miscellaneous; SKIN CONDITIONING,http://www.ewg.org/skindeep/ingredient/706714/TRISILOXANE/,3/5/2016,na
245,Vanillin,na,na,https://pubchem.ncbi.nlm.nih.gov/compound/vanillin#section=Top,na,na
246,Vitamin A,na,na,na,na,na
247,Vitamin B5,na,na,na,na,na
248,Vitamin B6,na,na,na,na,na
249,Vitamin C,Tetrahexyldecyl Ascorbate,na,na,na,na
250,Vitamin D3,na,na,na,na,na
